Exercise ID,Description FR,Description EN,Catégorie,Category,Name FR (niveau 1),Name EN (niveau 1),Name FR ( niveau 2),Name EN (niveau 2),Name FR niveau 3),Name EN (niveau 3),Movement duration,Repeat,Pause,Description Espagnol,Description Italien,Description Allemand
11,Étirez doucement le coin des lèvres vers le bas .,Slowly stretch the corners of the lips down.,Expressions faciales,Facial expressions,Groupe musculaire,Muscle group,Tiers inférieur,Inferior Third,Bouche,Mouth,12,4,10,Estira suavemente los labios hacia abajo.,Allunga dolcemente le labbra verso il basso.,Ziehen Sie die Lippen sanft nach unten.
12,Étirez doucement les lèvres vers le bas en sentant votre cou s’activer doucement.,Slowly stretch the lips down and feel the gentle activation in the neck.,Expressions faciales,Facial expressions,Groupe musculaire,Muscle group,Tiers inférieur,Inferior Third,Cou,Neck,12,4,10,Estira suavemente los labios hacia abajo sintiendo cómo se activa suavemente tu cuello.,Allunga dolcemente le labbra verso il basso sentendo come si attiva delicatamente il tuo collo.,"Ziehen Sie die Lippen sanft nach unten und spüren Sie, wie sich Ihr Hals sanft aktiviert."
13,Pensez à quelque chose de surprenant.,Think about something surprising.,Expressions faciales,Facial expressions,Émotions,Emotions,Tiers supérieur,Superior Third,Surpris,Surprised,12,4,10,Piensa en algo sorprendente.,Pensa a qualcosa di sorprendente.,Denken Sie an etwas Überraschendes.
14,Pensez à quelque chose de fâchant.,Think about something that makes you feel angry.,Expressions faciales,Facial expressions,Émotions,Emotions,Tiers supérieur,Superior Third,Fâché,Angry,12,4,10,Piensa en algo que te enfada.,Pensa a qualcosa che ti infastidisce.,"Denken Sie an etwas, das Sie ärgert."
15,Pensez à quelque chose de dégoûtant.,Think about something disgusting.,Expressions faciales,Facial expressions,Émotions,Emotions,Tiers médian,Median Third,Dégouté,Disguted,12,4,10,Piensa en algo asqueroso.,Pensa a qualcosa di disgustoso.,Denken Sie an etwas Ekelhaftes.
16,Pensez à quelque chose de joyeux.,Think about something happy.,Expressions faciales,Facial expressions,Émotions,Emotions,Tiers médian,Median Third,Heureux,Happy,12,4,10,Piensa en algo alegre.,Pensa a qualcosa di allegro.,Denken Sie an etwas Fröhliches.
17,Envoyez un baiser avec amour et maintenez-le.,Send a kiss with love and hold it.,Expressions faciales,Facial expressions,Émotions,Emotions,Tiers médian,Median Third,Amoureux(euse),In love,12,4,10,Envía un beso con amor.,Invia un bacio con amore.,Senden Sie einen Kuss mit Liebe.
18,Levez le front doucement et pensez à quelque chose de surprenant .,Slowly rise the forehead and think about something surprising.,Expressions faciales,Facial expressions,Groupe muscu + émotions,Muscle group + emotions,Tiers supérieur ,Superior Third ,Front et surpris,Forehead + surprised,12,4,10,Piensa en algo sorprendente y levanta la frente suavemente.,Pensa a qualcosa di sorprendente e solleva la fronte dolcemente.,Denken Sie an etwas Überraschendes und heben Sie die Stirn sanft.
19,Levez les sourcils légèrement et pensez à quelque chose de surprenant.,Slowly rise the eyebrows and think about something surprising.,Expressions faciales,Facial expressions,Groupe muscu + émotions,Muscle group + emotions,Tiers supérieur ,Superior Third ,Front et surpris,Forehead + surprised,12,4,10,Piensa en algo sorprendente y levanta las cejas ligeramente.,Pensa a qualcosa di sorprendente e solleva le sopracciglia leggermente.,Denken Sie an etwas Überraschendes und heben Sie die Augenbrauen leicht.
20,Froncez les sourcils légèrement et pensez à quelque chose de fâchant.,"Slowly frown the eyebrows, and think about something that makes you feel angry.",Expressions faciales,Facial expressions,Groupe muscu + émotions,Muscle group + emotions,Tiers supérieur ,Superior Third ,Sourcil et fâché,Eyebrow + angry,12,4,10,Piensa en algo que te enfada y frunce ligeramente las cejas.,Pensa a qualcosa che ti infastidisce e aggrotta leggermente le sopracciglia.,"Denken Sie an etwas, das Sie ärgert, und runzeln Sie leicht die Augenbrauen."
21,Levez doucement les narines (seulement les narines) et pensez à quelque chose de dégoûtant.,Gently lift your nostrils (only the nostrils) and think about something disgusting you.,Expressions faciales,Facial expressions,Groupe muscu + émotions,Muscle group + emotions,Tiers médian ,Median Third ,Nez + dégouté,Nose + disguted,8,4,5,Piensa en algo asqueroso y levanta suavemente las fosas nasales. Solo las fosas nasales.,Pensa a qualcosa di disgustoso e alza dolcemente le narici. Solo le narici.,Denken Sie an etwas Ekelhaftes und heben Sie sanft die Nasenlöcher. Nur die Nasenlöcher.
22,Souriez bouche fermée et pensez à quelque chose de joyeux.,Slowly smile with closed mouth and think about something happy.,Expressions faciales,Facial expressions,Groupe muscu + émotions,Muscle group + emotions,Tiers médian ,Median Third,Bouche et  heureux,Mouth + happy,12,4,10,Piensa en algo alegre y sonríe con la boca cerrada.,Pensa a qualcosa di allegro e sorridi con la bocca chiusa.,Denken Sie an etwas Fröhliches und lächeln Sie mit geschlossenen Lippen.
23,Souriez bouche ouverte et pensez à quelque chose de joyeux.,Slowly smile with open mouth and think about something happy.,Expressions faciales,Facial expressions,Groupe muscu + émotions,Muscle group + emotions,Tiers médian,Median Third,Bouche et heureux,Mouth + happy,12,4,10,Piensa en algo alegre y sonríe con la boca abierta.,Pensa a qualcosa di allegro e sorridi con la bocca aperta.,Denken Sie an etwas Fröhliches und lächeln Sie mit offenem Mund.
24,Pensez à quelqu’un que vous aimez et envoyez-lui un baiser. Maintenez le.,Send a kiss to someone you love and hold it.,Expressions faciales,Facial expressions,Groupe muscu + émotions,Muscle group + emotions,Tiers médian,Inferior Third ,Bouche et amoureux,Mouth + in love,12,4,10,Piensa en alguien que amas y envíale un beso.,Pensa a qualcuno che ami e invia un bacio.,"Denken Sie an jemanden, den Sie lieben, und senden Sie ihm einen Kuss."
25,Étirez le coins des lèvres vers le bas et pensez à quelque chose de dégoûtant.,Slowly stretch down the corners of your lips and think about something disgusting,Expressions faciales,Facial expressions,Groupe muscu + émotions,Muscle group + emotions,Tiers inférieur ,Inferior Third ,Bouche et dégouté,Mouth + disguted,12,4,10,Piensa en algo asqueroso y estira los labios hacia abajo.,Pensa a qualcosa di disgustoso e allunga le labbra verso il basso.,Denken Sie an etwas Ekelhaftes und ziehen Sie die Lippen nach unten.
26,"Étirez le coin des lèvres vers le bas en sentant votre cou s’activer doucement, et pensez à quelque chose de dégoûtant.  ","Slowly stretch down the corners of your lips, feeling a gentle activation in the neck.Think about something disgusting.",Expressions faciales,Facial expressions,Groupe muscu + émotions,Muscle group + emotions,Tiers inférieur ,Inferior Third ,Cou et dégoûté,Neck + disguted,12,4,10,Piensa en algo asqueroso y siente lentamente una suave activación en el cuello.,Pensa a qualcosa di disgustoso e senti lentamente una leggera attivazione nel collo.,Denken Sie an etwas Ekelhaftes und spüren Sie langsam eine sanfte Aktivierung im Nacken.
27,"Avec le doigt SEULEMENT, levez le front, et pensez à quelque chose de surprenant.","With the finger ONLY, rise the forehead, and think about something surprising.",Mobilisation assistée,Assisted mobilization,Passif assisté,Passive Assisted,Tiers supérieur,Superior Third,,,12,4,10,"Con el dedo SOLAMENTE, levanta la frente y piensa en algo sorprendente.","Con il dito SOLAMENTE, solleva la fronte e pensa a qualcosa di sorprendente.",Heben Sie mit dem Finger NUR die Stirn und denken Sie an etwas Überraschendes.
28,"Avec le doigt SEULEMENT, levez les sourcils, et pensez à quelque chose de surprenant.","With the finger ONLY, rise the eyebrows,  and think about something surprising.",Mobilisation assistée,Assisted mobilization,Passif assisté,Passive Assisted,Tiers supérieur,Superior Third,,,12,4,10,"Con el dedo SOLAMENTE, levanta las cejas y piensa en algo sorprendente.","Con il dito SOLAMENTE, solleva le sopracciglia e pensa a qualcosa di sorprendente.",Heben Sie mit dem Finger NUR die Augenbrauen und denken Sie an etwas Überraschendes.
29,"Avec le doigt SEULEMENT, froncez les sourcils, et pensez à quelque chose de fâchant.","With the finger ONLY, frown the eyebrows, and think about something that makes you feel angry.",Mobilisation assistée,Assisted mobilization,Passif assisté,Passive Assisted,Tiers supérieur,Superior Third,,,12,4,10,"Con el dedo SOLAMENTE, frunce el ceño y piensa en algo que te enfada.","Con il dito SOLAMENTE, aggrotta le sopracciglia e pensa a qualcosa che ti infastidisce.","Runzeln Sie mit dem Finger NUR die Stirn und denken Sie an etwas, das Sie ärgert."
30,"Avec le doigt SEULEMENT, levez doucement les narines, et pensez à quelque chose de dégoûtant.","With the finger ONLY, lift your nostrils, and think about something disgusting.",Mobilisation assistée,Assisted mobilization,Passif assisté,Passive Assisted,Tiers médian,Median Third,,,8,4,5,"Con el dedo SOLAMENTE, levanta suavemente las fosas nasales y piensa en algo asqueroso.","Con il dito SOLOCAMENTE, solleva delicatamente le narici e pensa a qualcosa di disgustoso.",Hebt mit dem Finger NUR vorsichtig die Nasenlöcher an und denkt an etwas Ekliges.
31,"Avec le doigt SEULEMENT, souriez bouche fermée, et pensez à quelque chose de joyeux.","With the finger ONLY, smile with closed mouth, and think about something happy.",Mobilisation assistée,Assisted mobilization,Passif assisté,Passive Assisted,Tiers médian,Median Third,,,12,4,10,"Con el dedo SOLAMENTE, sonríe con la boca cerrada y piensa en algo alegre.","Con il dito SOLOCAMENTE, sorridi con la bocca chiusa e pensa a qualcosa di gioioso.",Lächelt mit dem Finger NUR mit geschlossenem Mund und denkt an etwas Fröhliches.
32,"Avec le doigt SEULEMENT, souriez bouche ouverte, et pensez à quelque chose de joyeux.","With the finger ONLY, smile with open mouth, and think about something happy.",Mobilisation assistée,Assisted mobilization,Passif assisté,Passive Assisted,Tiers médian,Median Third,,,12,4,10,"Con el dedo SOLAMENTE, sonríe con la boca abierta y piensa en algo alegre.","Con il dito SOLOCAMENTE, sorridi con la bocca aperta e pensa a qualcosa di gioioso.",Lächelt mit dem Finger NUR mit offenem Mund und denkt an etwas Fröhliches.
33,"Avec le doigt SEULEMENT, poussez les lèvres pour envoyer un baiser, et pensez à quelqu’un que vous aimez.","With the finger ONLY, push the lips to send a kiss, and think about someone you love.",Mobilisation assistée,Assisted mobilization,Passif assisté,Passive Assisted,Tiers médian,Median Third,,,12,4,10,"Con el dedo SOLAMENTE, empuja los labios para enviar un beso y piensa en alguien que amas.","Con il dito SOLOCAMENTE, spingi le labbra per inviare un bacio e pensa a qualcuno che ami.","Sendet mit dem Finger NUR einen Kuss und denkt an jemanden, den ihr liebt."
34,"Avec le doigt SEULEMENT, étirez les lèvres vers le bas, et pensez à quelque chose de dégoûtant.","With the finger ONLY, stretch the lips down, and think about something disgusting.",Mobilisation assistée,Assisted mobilization,Passif assisté,Passive Assisted,Tiers médian,Median Third,,,12,4,10,"Con el dedo SOLAMENTE, estira los labios hacia abajo y piensa en algo asqueroso.","Con il dito SOLOCAMENTE, tira le labbra verso il basso e pensa a qualcosa di disgustoso.",Zieht mit dem Finger NUR die Lippen nach unten und denkt an etwas Ekliges.
35,"Avec votre main SEULEMENT, touchez votre cou vers le bas, et pensez à quelque chose de dégoûtant.","With the finger ONLY, touch you neck down, and think about something disgusting.",Mobilisation assistée,Assisted mobilization,Passif assisté,Passive Assisted,Tiers inférieur ,Inferior Third,,,12,4,10,"Con la mano SOLAMENTE, toca tu cuello hacia abajo y piensa en algo asqueroso.","Con la mano SOLOCAMENTE, tocca il collo verso il basso e pensa a qualcosa di disgustoso.",Berührt mit der Hand NUR euren Hals nach unten und denkt an etwas Ekliges.
36,Levez le front doucement et pensez à quelque chose de surprenant. Tenez le mouvement à l’aide doigt.,Slowly rise the forehead and think about something surprising. Hold the movement with the finger.,Mobilisation assistée,Assisted mobilization,Actif assisté ,Active Assisted ,Tiers supérieur,Superior Third,,,12,4,10,Piensa en algo sorprendente y levanta la frente suavemente. Mantén el movimiento con el dedo.,Pensa a qualcosa di sorprendente e solleva delicatamente la fronte. Tieni il movimento con il dito.,Denkt an etwas Überraschendes und hebt vorsichtig die Stirn. Haltet die Bewegung mit dem Finger.
37,Levez les sourcils légèrement et pensez à quelque chose de surprenant Tenez le mouvement à l’aide doigt.,Slowly rise the eyebrows and think about something surprising. Hold the movement with the finger.,Mobilisation assistée,Assisted mobilization,Actif assisté ,Active Assisted ,Tiers supérieur,Superior Third,,,12,4,10,Piensa en algo sorprendente y levanta las cejas ligeramente. Mantén el movimiento con el dedo.,Pensa a qualcosa di sorprendente e solleva leggermente le sopracciglia. Tieni il movimento con il dito.,Denkt an etwas Überraschendes und hebt leicht die Augenbrauen. Haltet die Bewegung mit dem Finger.
38,Froncez les sourcils légèrement et pensez à quelque chose de fâchant. Tenez le mouvement à l’aide doigt.,"Slowly frown the eyebrows, and think about something that makes you feel angry. Hold the movement with the finger.",Mobilisation assistée,Assisted mobilization,Actif assisté ,Active Assisted ,Tiers supérieur,Superior Third,,,12,4,10,Piensa en algo que te enfada y frunce ligeramente las cejas. Mantén el movimiento con el dedo.,Pensa a qualcosa che ti fa arrabbiare e frunza leggermente le sopracciglia. Tieni il movimento con il dito.,Denkt an etwas Ärgerliches und runzelt leicht die Stirn. Haltet die Bewegung mit dem Finger.
39,Levez doucement les narines (seulement les narines) et pensez à quelque chose de dégoûtant. Tenez le mouvement à l’aide doigt.,Gently lift your nostrils (only the nostrils) and think about something disgusting you. Hold the movement with the finger.,Mobilisation assistée,Assisted mobilization,Actif assisté ,Active Assisted ,Tiers médian,Median Third,,,12,4,10,Piensa en algo asqueroso y levanta suavemente las fosas nasales. Solo las fosas nasales. Mantén el movimiento con el dedo.,Pensa a qualcosa di disgustoso e solleva delicatamente le narici. Solo le narici. Tieni il movimento con il dito.,Denkt an etwas Ekliges und hebt vorsichtig die Nasenlöcher. Nur die Nasenlöcher. Haltet die Bewegung mit dem Finger.
40,Souriez bouche fermée et pensez à quelque chose de joyeux. Tenez le mouvement à l’aide doigt.,Slowly smile with closed mouth and think about something happy. Hold the movement with the finger.,Mobilisation assistée,Assisted mobilization,Actif assisté ,Active Assisted ,Tiers médian,Median Third,,,12,4,10,Piensa en algo alegre y sonríe con la boca cerrada. Mantén el movimiento con el dedo.,Pensa a qualcosa di gioioso e sorridi con la bocca chiusa. Tieni il movimento con il dito.,Denkt an etwas Fröhliches und lächelt mit geschlossenem Mund. Haltet die Bewegung mit dem Finger.
41,Souriez bouche ouverte et pensez à quelque chose de joyeux. Tenez le mouvement à l’aide doigt.,Slowly smile with open mouth and think about something happy. Hold the movement with the finger.,Mobilisation assistée,Assisted mobilization,Actif assisté ,Active Assisted ,Tiers médian,Median Third,,,12,4,10,Piensa en algo alegre y sonríe con la boca abierta. Mantén el movimiento con el dedo.,Pensa a qualcosa di gioioso e sorridi con la bocca aperta. Tieni il movimento con il dito.,Denkt an etwas Fröhliches und lächelt mit offenem Mund. Haltet die Bewegung mit dem Finger.
42,Pensez à quelqu’un que vous aimez et envoyez-lui un baiser. Tenez le mouvement à l’aide doigt.,Think about someone you love and send them a kiss. Hold the movement with the finger.,Mobilisation assistée,Assisted mobilization,Actif assisté ,Active Assisted ,Tiers médian ,Median Third,,,12,4,10,Piensa en alguien que amas y envía un beso. Mantén el movimiento con el dedo.,Pensa a qualcuno che ami e invia un bacio a lui/lei. Tieni il movimento con il dito.,"Denkt an jemanden, den ihr liebt, und schickt ihm/ihr einen Kuss. Haltet die Bewegung mit dem Finger."
43,Étirez le coin des lèvres vers le bas et pensez à quelque chose de dégoûtant. Tenez le mouvement à l’aide doigt.,Slowly stretch down the corners of your lips and think about something disgusting. Hold the movement with the finger.,Mobilisation assistée,Assisted mobilization,Actif assisté ,Active Assisted ,Tiers inférieur,Inferior third,,,12,4,10,Piensa en algo asqueroso y estira los labios hacia abajo. Mantén el movimiento con el dedo.,Pensa a qualcosa di disgustoso e tira le labbra verso il basso. Tieni il movimento con il dito.,Denkt an etwas Ekliges und zieht die Lippen nach unten. Haltet die Bewegung mit dem Finger.
44,"Étirez le coin des lèvres vers le bas en sentant votre cou s’activer doucement, et pensez à quelque chose de dégoûtant. Tenez le mouvement à l’aide doigt.","Slowly stretch down the corners of your lips, feeling a gentle activation in the neck. Hold the movement with the finger.",Mobilisation assistée,Assisted mobilization,Actif assisté ,Active Assisted ,Tiers inférieur,Inferior third,,,12,4,10,Piensa en algo asqueroso y estira los labios hacia abajo sintiendo tu cuello. Mantén el movimiento con el dedo.,Pensa a qualcosa di disgustoso e tira le labbra verso il basso sentendo il tuo collo. Tieni il movimento con il dito.,"Denkt an etwas Ekliges und zieht die Lippen nach unten, während ihr euren Hals spürt. Haltet die Bewegung mit dem Finger."
45,Parlez en utilisant des sons précis (sans forcer) et équilibrez l’activité musculaire entre les deux côtés de la bouche.,Talk using precise sounds (without forcing) and balance muscular activity between both sides of the mouth.,Articulation,Articulation,Fonctionnel,Functional,,,,,12,4,10,Habla utilizando sonidos bien marcados (sin forzar) y equilibra la actividad muscular entre ambos lados de la boca.,Parla usando suoni ben marcati (senza forzare) e bilancia l'attività muscolare tra i due lati della bocca.,Sprecht mit deutlich betonten Lauten (ohne zu forcieren) und balanciert die Muskelaktivität auf beiden Seiten des Mundes.
45,Parlez en utilisant des sons précis (sans forcer) et équilibrez l’activité musculaire entre les deux côtés de la bouche.,Talk using precise sounds (without forcing) and balance muscular activity between both sides of the mouth.,AVC,CVA,Articulation,Articulation,Fonctionnel,Functional,,,12,4,10,Habla utilizando sonidos bien marcados (sin forzar) y equilibra la actividad muscular entre ambos lados de la boca.,Parla usando suoni ben marcati (senza forzare) e bilancia l'attività muscolare tra i due lati della bocca.,Sprecht mit deutlich betonten Lauten (ohne zu forcieren) und balanciert die Muskelaktivität auf beiden Seiten des Mundes.
46,Mastiquez doucement en sentant l’activité musculaire précisément autour de la bouche.,Chew slowly and feel muscular activity precisely around the mouth.,Déglutition,Swallowing,Fonctionnel,Functional,,,,,12,4,10,Mastica suavemente sintiendo la actividad muscular precisamente alrededor de la boca.,Mastica delicatamente sentendo l'attività muscolare precisamente intorno alla bocca.,Kaut sanft und spürt die Muskelaktivität genau um den Mund herum.
46,Mastiquez doucement en sentant l’activité musculaire précisément autour de la bouche.,Chew slowly and feel muscular activity precisely around the mouth.,Contrôle des syncinésies,Control of synkinesis,Par activité fonctionnelle,By functional activity,Déglutition,Swallowing,,,12,4,10,Mastica suavemente sintiendo la actividad muscular precisamente alrededor de la boca.,Mastica delicatamente sentendo l'attività muscolare precisamente intorno alla bocca.,Kaut sanft und spürt die Muskelaktivität genau um den Mund herum.
47,Envoyez un bec léger et sentez l’ABSENCE de mouvement près de l’œil. Référez-vous à l’œil du côté sain.,Send a kiss and feel the ABSENCE of movement around the eye. Refer to the healthy eye.,Contrôle des syncinésies,Control of synkinesis,Par groupe synkinétique,By synkinetic group,Syncinésies de l'oeil,Eye synkinesis,,,12,4,10,Envía un beso ligero y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.,Invia un bacio leggero e senti l'ASSENZA di movimento vicino all'occhio. Riferisciti all'occhio del lato sano.,Sendet einen leichten Kuss und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.
47,Envoyez un bec léger et sentez l’ABSENCE de mouvement dans le sourcil. Référez-vous au côté sain.,Send a kiss and feel the ABSENCE of movement in the eyebrow. Refer to the healthy side.,Contrôle des syncinésies,Control of synkinesis,Par groupe synkinétique,By synkinetic group,Syncinésies du sourcil,Eyebrow synkinesis,,,12,4,10,Envía un beso ligero y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.,Invia un bacio leggero e senti l'ASSENZA di movimento vicino all'occhio. Riferisciti all'occhio del lato sano.,Sendet einen leichten Kuss und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.
47,Envoyez un bec léger et sentez l’ABSENCE d'étirement dans la joue. Référez-vous au côté sain.,Send a kiss and feel the ABSENCE of stretching in the cheek. Refer to the healthy side,Contrôle des syncinésies,Control of synkinesis,Par groupe synkinétique,By synkinetic group,Syncinésies de la joue,Cheek synkinesis,,,12,4,10,Envía un beso ligero y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.,Invia un bacio leggero e senti l'ASSENZA di movimento vicino all'occhio. Riferisciti all'occhio del lato sano.,Sendet einen leichten Kuss und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.
48,Fermez doucement les yeux et sentez l’ABSENCE de mouvement dans la joue. Référez-vous à la joue du côté sain.,Gently close the eyes and feel the ABSENCE of movement around the cheek. Refer to the healthy cheek.,Contrôle des syncinésies,Control of synkinesis,Par groupe synkinétique,By synkinetic group,Syncinésies de la joue,Cheek synkinesis,,,12,4,10,Cierra suavemente los ojos y siente la AUSENCIA de movimiento en la mejilla. Refírete a la mejilla del lado sano.,Chiudi delicatamente gli occhi e senti l'ASSENZA di movimento nella guancia. Riferisciti alla guancia del lato sano.,Schließt sanft die Augen und spürt die ABWESENHEIT von Bewegung in der Wange. Bezieht euch auf die Wange der gesunden Seite.
49,Fermez doucement les yeux et sentez l’ABSENCE de mouvement dans le cou Référez-vous au cou du côté sain.,Gently close the eyes and feel the ABSENCE of movement around the neck. Refer to the healthy neck.,Contrôle des syncinésies,Control of synkinesis,Par groupe synkinétique,By synkinetic group,Syncinésies de la joue,Cheek synkinesis,,,12,4,10,Cierra suavemente los ojos y siente la AUSENCIA de movimiento en el cuello. Refírete al cuello del lado sano.,Chiudi delicatamente gli occhi e senti l'ASSENZA di movimento nel collo. Riferisciti al collo del lato sano.,Schließt sanft die Augen und spürt die ABWESENHEIT von Bewegung im Hals. Bezieht euch auf den Hals der gesunden Seite.
50,"Faites un ""O"" et sentez l’ABSENCE de mouvement près de l’œil. Référez-vous à l’œil du côté sain.","Pronounce a ""O"" and feel the ABSENCE of movement around the eye. Refer to the healthy eye.",Contrôle des syncinésies,Control of synkinesis,Par groupe synkinétique,By synkinetic group,Syncinésies de l'oeil,Eye synkinesis,,,12,4,10,"Haz una ""O"" y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.","Fai una ""O"" e senti l'ASSENZA di movimento vicino all'occhio. Riferisciti all'occhio del lato sano.","Macht ein ""O"" und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite."
50,"Faites un ""O"" et sentez l’ABSENCE de mouvement  dans le sourcil. Référez-vous au côté sain.","Pronounce a ""O"" and feel the ABSENCE of movement  in the eyebrow. Refer to the healthy side.",Contrôle des syncinésies,Control of synkinesis,Par groupe synkinétique,By synkinetic group,Syncinésies du sourcil,Eyebrow synkinesis,,,12,4,10,"Haz una ""O"" y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.","Fai una ""O"" e senti l'ASSENZA di movimento vicino all'occhio. Riferisciti all'occhio del lato sano.","Macht ein ""O"" und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite."
50,"Faites un ""O"" et sentez l’ABSENCE d'étirement dans la joue. Référez-vous au côté sain.","Pronounce a ""O"" and feel the ABSENCE of stretching in the cheek. Refer to the healthy side",Contrôle des syncinésies,Control of synkinesis,Par groupe synkinétique,By synkinetic group,Syncinésies de la joue,Cheek synkinesis,,,12,4,10,"Haz una ""O"" y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.","Fai una ""O"" e senti l'ASSENZA di movimento vicino all'occhio. Riferisciti all'occhio del lato sano.","Macht ein ""O"" und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite."
51,"Faites un ""CHH"" et sentez l’ABSENCE de mouvement près de l’œil. Référez-vous à l’œil du côté sain.","Pronounce a ""SSHH"" and feel the ABSENCE of movement around the eye. Refer to the healthy eye.",Contrôle des syncinésies,Control of synkinesis,Par groupe synkinétique,By synkinetic group,Syncinésies de l'oeil,Eye synkinesis,,,12,4,10,"Haz un ""CHH"" y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.","Fai un ""CHH"" e senti l'ASSENZA di movimento vicino all'occhio. Riferisciti all'occhio del lato sano.","Macht ein ""CHH"" und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite."
