Exercise ID,Movement Duration,Repetition,Pause,Description FR,Description EN,Description DE,Description ES,Description IT,Description PT,Category FR,Category Sub Level 1 FR,Category Sub Level 2 FR,Category Sub Level 3 FR,Category EN,Category Sub Level 1 EN,Category Sub Level 2 EN,Category Sub Level 3 EN,Category DE,Category Sub Level 1 DE,Category Sub Level 2 DE,Category Sub Level 3 DE,Category ES,Category Sub Level 1 ES,Category Sub Level 2 ES,Category Sub Level 3 ES,Category IT,Category Sub Level 1 IT,Category Sub Level 2 IT,Category Sub Level 3 IT,Category PT,Category Sub Level 1 PT,Category Sub Level 2 PT,Category Sub Level 3 PT
11,12,4,10,Étirez doucement le coin des lèvres vers le bas .,Slowly stretch the corners of the lips down.,Ziehen Sie die Lippen sanft nach unten.,Estira suavemente los labios hacia abajo.,Allunga dolcemente le labbra verso il basso.,Estire delicadamente o canto dos lábios para baixo.,Expressions faciales,Groupe musculaire,Tiers inférieur,Bouche,Facial expressions,Muscle group,Inferior Third,Mouth,Gesichtsausdrücke,Muskelgruppe,Untere Ebene,Mund,Expresiones faciales,Grupo muscular,Tercer piso inferior.,Boca,Espressioni facciali,Gruppo muscolare,Terzo inferiore,Bocca,Expressões faciais,Grupo muscular,Terço inferior,Boca
12,12,4,10,Étirez doucement les lèvres vers le bas en sentant votre cou s’activer doucement.,Slowly stretch the lips down and feel the gentle activation in the neck.,"Ziehen Sie die Lippen sanft nach unten und spüren Sie, wie sich Ihr Hals sanft aktiviert.",Estira suavemente los labios hacia abajo sintiendo cómo se activa suavemente tu cuello.,Allunga dolcemente le labbra verso il basso sentendo come si attiva delicatamente il tuo collo.,"Estique suavemente os lábios para baixo, sentindo seu pescoço se alongar delicadamente.",Expressions faciales,Groupe musculaire,Tiers inférieur,Cou,Facial expressions,Muscle group,Inferior Third,Neck,Gesichtsausdrücke,Muskelgruppe,Untere Ebene,"(""Cou"" is an incomplete word or sentence in French. Could you please provide more context or complete the sentence so I can provide an accurate translation into German?)",Expresiones faciales,Grupo muscular,Tercer piso inferior.,"I'm sorry, but the text provided is incomplete. Can you please provide more context or the full text for translation into Spanish?",Espressioni facciali,Gruppo muscolare,Terzo inferiore,I am here to help with the translation. Could you provide me with the full sentence or text that needs to be translated from French to Italian?,Expressões faciais,Grupo muscular,Terço inferior,It seems like your message was cut off. Please provide the full text you want me to translate from French to Portuguese.
13,12,4,10,Pensez à quelque chose de surprenant.,Think about something surprising.,Denken Sie an etwas Überraschendes.,Piensa en algo sorprendente.,Pensa a qualcosa di sorprendente.,Pense em algo surpreendente.,Expressions faciales,Émotions,Tiers supérieur,Surpris,Facial expressions,Emotions,Superior Third,Surprised,Gesichtsausdrücke,Emotionen,Oberstufe,Überrascht,Expresiones faciales,Emociones,Nivel superior,Sorprendido.,Espressioni facciali,Emozioni,Terzo superiore,Sorpreso,Expressões faciais,Emoções,Topo tier,Surpreendido
14,12,4,10,Pensez à quelque chose de fâchant.,Think about something that makes you feel angry.,"Denken Sie an etwas, das Sie ärgert.",Piensa en algo que te enfada.,Pensa a qualcosa che ti infastidisce.,Pense em algo que te deixe zangado.,Expressions faciales,Émotions,Tiers supérieur,Fâché,Facial expressions,Emotions,Superior Third,Angry,Gesichtsausdrücke,Emotionen,Oberstufe,Verärgert,Expresiones faciales,Emociones,Nivel superior,Enojado,Espressioni facciali,Emozioni,Terzo superiore,Arrabbiato,Expressões faciais,Emoções,Topo tier,Zangado
15,12,4,10,Pensez à quelque chose de dégoûtant.,Think about something disgusting.,Denken Sie an etwas Ekelhaftes.,Piensa en algo asqueroso.,Pensa a qualcosa di disgustoso.,Pense em algo repugnante.,Expressions faciales,Émotions,Tiers médian,Dégouté,Facial expressions,Emotions,Median Third,Disguted,Gesichtsausdrücke,Emotionen,Mitteltier,Angewidert,Expresiones faciales,Emociones,Tercer cuartil,Asqueado,Espressioni facciali,Emozioni,Terza mediana,Deluso.,Expressões faciais,Emoções,Terceiro médio,Nojo
16,12,4,10,Pensez à quelque chose de joyeux.,Think about something happy.,Denken Sie an etwas Fröhliches.,Piensa en algo alegre.,Pensa a qualcosa di allegro.,Pensa em algo alegre.,Expressions faciales,Émotions,Tiers médian,Heureux,Facial expressions,Emotions,Median Third,Happy,Gesichtsausdrücke,Emotionen,Mitteltier,Glücklich,Expresiones faciales,Emociones,Tercer cuartil,Feliz,Espressioni facciali,Emozioni,Terza mediana,Felice,Expressões faciais,Emoções,Terceiro médio,Feliz
17,12,4,10,Envoyez un baiser avec amour et maintenez-le.,Send a kiss with love and hold it.,Senden Sie einen Kuss mit Liebe.,Envía un beso con amor.,Invia un bacio con amore.,Envie um beijo com amor e mantenha-o.,Expressions faciales,Émotions,Tiers médian,Amoureux(euse),Facial expressions,Emotions,Median Third,In love,Gesichtsausdrücke,Emotionen,Mitteltier,Verliebt,Expresiones faciales,Emociones,Tercer cuartil,Enamorado(a),Espressioni facciali,Emozioni,Terza mediana,Innamorato(a),Expressões faciais,Emoções,Terceiro médio,Apaixonado(a)
18,12,4,10,Levez le front doucement et pensez à quelque chose de surprenant .,Slowly rise the forehead and think about something surprising.,Denken Sie an etwas Überraschendes und heben Sie die Stirn sanft.,Piensa en algo sorprendente y levanta la frente suavemente.,Pensa a qualcosa di sorprendente e solleva la fronte dolcemente.,Levante a testa suavemente e pense em algo surpreendente.,Expressions faciales,Groupe musculaire + émotions,Tiers supérieur,Front et surpris,Facial expressions,Muscle group + emotions,Superior Third,Forehead + surprised,Gesichtsausdrücke,Muskelgruppe + Emotionen,Oberstufe,Verblüfft und überrascht.,Expresiones faciales,Grupo de músculos + emociones,Nivel superior,Frente y sorprendido,Espressioni facciali,Gruppo di muscoli + emozioni,Terzo superiore,Sorpreso e stupito,Expressões faciais,Grupo de musculação + emoções,Topo tier,Surpreso e surpreso
19,12,4,10,Levez les sourcils légèrement et pensez à quelque chose de surprenant.,Slowly rise the eyebrows and think about something surprising.,Denken Sie an etwas Überraschendes und heben Sie die Augenbrauen leicht.,Piensa en algo sorprendente y levanta las cejas ligeramente.,Pensa a qualcosa di sorprendente e solleva le sopracciglia leggermente.,Levante as sobrancelhas levemente e pense em algo surpreendente.,Expressions faciales,Groupe musculaire + émotions,Tiers supérieur,Front et surpris,Facial expressions,Muscle group + emotions,Superior Third,Forehead + surprised,Gesichtsausdrücke,Muskelgruppe + Emotionen,Oberstufe,Verblüfft und überrascht.,Expresiones faciales,Grupo de músculos + emociones,Nivel superior,Frente y sorprendido,Espressioni facciali,Gruppo di muscoli + emozioni,Terzo superiore,Sorpreso e stupito,Expressões faciais,Grupo de musculação + emoções,Topo tier,Surpreso e surpreso
20,12,4,10,Froncez les sourcils légèrement et pensez à quelque chose de fâchant.,"Slowly frown the eyebrows, and think about something that makes you feel angry.","Denken Sie an etwas, das Sie ärgert, und runzeln Sie leicht die Augenbrauen.",Piensa en algo que te enfada y frunce ligeramente las cejas.,Pensa a qualcosa che ti infastidisce e aggrotta leggermente le sopracciglia.,Franze levemente as sobrancelhas e pense em algo que te deixa chateado.,Expressions faciales,Groupe musculaire + émotions,Tiers supérieur,Sourcil et fâché,Facial expressions,Muscle group + emotions,Superior Third,Eyebrow + angry,Gesichtsausdrücke,Muskelgruppe + Emotionen,Oberstufe,Augenbraue und ärgerlich,Expresiones faciales,Grupo de músculos + emociones,Nivel superior,Ceja fruncida,Espressioni facciali,Gruppo di muscoli + emozioni,Terzo superiore,Sopracciglio e arrabbiato,Expressões faciais,Grupo de musculação + emoções,Topo tier,Sobrancelha franzida.
21,8,4,5,Levez doucement les narines (seulement les narines) et pensez à quelque chose de dégoûtant.,Gently lift your nostrils (only the nostrils) and think about something disgusting you.,Denken Sie an etwas Ekelhaftes und heben Sie sanft die Nasenlöcher. Nur die Nasenlöcher.,Piensa en algo asqueroso y levanta suavemente las fosas nasales. Solo las fosas nasales.,Pensa a qualcosa di disgustoso e alza dolcemente le narici. Solo le narici.,Levante gentilmente as narinas (apenas as narinas) e pense em algo repugnante. ,Expressions faciales,Groupe musculaire + émotions,Tiers médian,Nez + dégouté,Facial expressions,Muscle group + emotions,Median Third,Nose + disguted,Gesichtsausdrücke,Muskelgruppe + Emotionen,Mitteltier,Nase + angewidert,Expresiones faciales,Grupo de músculos + emociones,Tercer cuartil,Nariz + asco,Espressioni facciali,Gruppo di muscoli + emozioni,Terza mediana,Naso + disgustato,Expressões faciais,Grupo de musculação + emoções,Terceiro médio,Nariz + nojo
22,12,4,10,Souriez bouche fermée et pensez à quelque chose de joyeux.,Slowly smile with closed mouth and think about something happy.,Denken Sie an etwas Fröhliches und lächeln Sie mit geschlossenen Lippen.,Piensa en algo alegre y sonríe con la boca cerrada.,Pensa a qualcosa di allegro e sorridi con la bocca chiusa.,Sorria de boca fechada e pense em algo feliz.,Expressions faciales,Groupe musculaire + émotions,Tiers médian,Bouche et  heureux,Facial expressions,Muscle group + emotions,Median Third,Mouth + happy,Gesichtsausdrücke,Muskelgruppe + Emotionen,Mitteltier,Mund und glücklich,Expresiones faciales,Grupo de músculos + emociones,Tercer cuartil,Beso y feliz,Espressioni facciali,Gruppo di muscoli + emozioni,Terza mediana,Bacio e felice,Expressões faciais,Grupo de musculação + emoções,Terceiro médio,Faminto e feliz
23,12,4,10,Souriez bouche ouverte et pensez à quelque chose de joyeux.,Slowly smile with open mouth and think about something happy.,Denken Sie an etwas Fröhliches und lächeln Sie mit offenem Mund.,Piensa en algo alegre y sonríe con la boca abierta.,Pensa a qualcosa di allegro e sorridi con la bocca aperta.,Sorria de boca aberta e pense em algo alegre.,Expressions faciales,Groupe musculaire + émotions,Tiers médian,Bouche et heureux,Facial expressions,Muscle group + emotions,Median Third,Mouth + happy,Gesichtsausdrücke,Muskelgruppe + Emotionen,Mitteltier,Geschlossen und glücklich.,Expresiones faciales,Grupo de músculos + emociones,Tercer cuartil,Feliz y satisfecho,Espressioni facciali,Gruppo di muscoli + emozioni,Terza mediana,Felice e grato,Expressões faciais,Grupo de musculação + emoções,Terceiro médio,Boca e feliz
24,12,4,10,Pensez à quelqu’un que vous aimez et envoyez-lui un baiser. Maintenez le.,Send a kiss to someone you love and hold it.,"Denken Sie an jemanden, den Sie lieben, und senden Sie ihm einen Kuss.",Piensa en alguien que amas y envíale un beso.,Pensa a qualcuno che ami e invia un bacio.,Pensa em alguém que amas e envia-lhe um beijo. Mantém-no.,Expressions faciales,Groupe musculaire + émotions,Tiers médian,Bouche et amoureux,Facial expressions,Muscle group + emotions,Inferior Third,Mouth + in love,Gesichtsausdrücke,Muskelgruppe + Emotionen,Mitteltier,Mund und Liebende,Expresiones faciales,Grupo de músculos + emociones,Tercer cuartil,Beso y enamorado.,Espressioni facciali,Gruppo di muscoli + emozioni,Terza mediana,Bocca e innamorato,Expressões faciais,Grupo de musculação + emoções,Terceiro médio,Boca e apaixonado
25,12,4,10,Étirez le coins des lèvres vers le bas et pensez à quelque chose de dégoûtant.,Slowly stretch down the corners of your lips and think about something disgusting,Denken Sie an etwas Ekelhaftes und ziehen Sie die Lippen nach unten.,Piensa en algo asqueroso y estira los labios hacia abajo.,Pensa a qualcosa di disgustoso e allunga le labbra verso il basso.,Estique os cantos dos lábios para baixo e pense em algo nojento.,Expressions faciales,Groupe musculaire + émotions,Tiers inférieur,Bouche et dégouté,Facial expressions,Muscle group + emotions,Inferior Third,Mouth + disguted,Gesichtsausdrücke,Muskelgruppe + Emotionen,Untere Ebene,Verärgert und angewidert.,Expresiones faciales,Grupo de músculos + emociones,Tercer piso inferior.,Boca y asqueado,Espressioni facciali,Gruppo di muscoli + emozioni,Terzo inferiore,Bocca e disgusto,Expressões faciais,Grupo de musculação + emoções,Terço inferior,Desgosto e repugnância.
26,12,4,10,"Étirez le coin des lèvres vers le bas en sentant votre cou s’activer doucement, et pensez à quelque chose de dégoûtant.","Slowly stretch down the corners of your lips, feeling a gentle activation in the neck.Think about something disgusting.",Denken Sie an etwas Ekelhaftes und spüren Sie langsam eine sanfte Aktivierung im Nacken.,Piensa en algo asqueroso y siente lentamente una suave activación en el cuello.,Pensa a qualcosa di disgustoso e senti lentamente una leggera attivazione nel collo.,"Estique o canto dos lábios para baixo, sentindo seu pescoço se movimentar suavemente, e pense em algo repugnante.",Expressions faciales,Groupe musculaire + émotions,Tiers inférieur,Cou et dégoûté,Facial expressions,Muscle group + emotions,Inferior Third,Neck + disguted,Gesichtsausdrücke,Muskelgruppe + Emotionen,Untere Ebene,Hals und angewidert.,Expresiones faciales,Grupo de músculos + emociones,Tercer piso inferior.,Cuello y asqueado,Espressioni facciali,Gruppo di muscoli + emozioni,Terzo inferiore,Sconvolto e disgustato,Expressões faciais,Grupo de musculação + emoções,Terço inferior,Pescoço e nojo
27,12,4,10,"Avec le doigt SEULEMENT, levez le front, et pensez à quelque chose de surprenant.","With the finger ONLY, rise the forehead, and think about something surprising.",Heben Sie mit dem Finger NUR die Stirn und denken Sie an etwas Überraschendes.,"Con el dedo SOLAMENTE, levanta la frente y piensa en algo sorprendente.","Con il dito SOLAMENTE, solleva la fronte e pensa a qualcosa di sorprendente.","Com apenas o dedo, levante a testa e pense em algo surpreendente.",Mobilisation assistée,Passif assisté,Tiers supérieur,,Assisted mobilization,Passive Assisted,Superior Third,,Unterstützte Mobilisierung,Unterstützende Passive,Oberstufe,,Movilización asistida,Pasivo asistido,Nivel superior,,Mobilitazione assistita,Passivo assistito,Terzo superiore,,Mobilização assistida.,Passivo assistido,Topo tier,
28,12,4,10,"Avec le doigt SEULEMENT, levez les sourcils, et pensez à quelque chose de surprenant.","With the finger ONLY, rise the eyebrows,  and think about something surprising.",Heben Sie mit dem Finger NUR die Augenbrauen und denken Sie an etwas Überraschendes.,"Con el dedo SOLAMENTE, levanta las cejas y piensa en algo sorprendente.","Con il dito SOLAMENTE, solleva le sopracciglia e pensa a qualcosa di sorprendente.","Apenas com o dedo, levante as sobrancelhas e pense em algo surpreendente.",Mobilisation assistée,Passif assisté,Tiers supérieur,,Assisted mobilization,Passive Assisted,Superior Third,,Unterstützte Mobilisierung,Unterstützende Passive,Oberstufe,,Movilización asistida,Pasivo asistido,Nivel superior,,Mobilitazione assistita,Passivo assistito,Terzo superiore,,Mobilização assistida.,Passivo assistido,Topo tier,
29,12,4,10,"Avec le doigt SEULEMENT, froncez les sourcils, et pensez à quelque chose de fâchant.","With the finger ONLY, frown the eyebrows, and think about something that makes you feel angry.","Runzeln Sie mit dem Finger NUR die Stirn und denken Sie an etwas, das Sie ärgert.","Con el dedo SOLAMENTE, frunce el ceño y piensa en algo que te enfada.","Con il dito SOLAMENTE, aggrotta le sopracciglia e pensa a qualcosa che ti infastidisce.","Apenas com o dedo, franzir a testa e pensar em algo irritante.",Mobilisation assistée,Passif assisté,Tiers supérieur,,Assisted mobilization,Passive Assisted,Superior Third,,Unterstützte Mobilisierung,Unterstützende Passive,Oberstufe,,Movilización asistida,Pasivo asistido,Nivel superior,,Mobilitazione assistita,Passivo assistito,Terzo superiore,,Mobilização assistida.,Passivo assistido,Topo tier,
30,8,4,5,"Avec le doigt SEULEMENT, levez doucement les narines, et pensez à quelque chose de dégoûtant.","With the finger ONLY, lift your nostrils, and think about something disgusting.",Hebt mit dem Finger NUR vorsichtig die Nasenlöcher an und denkt an etwas Ekliges.,"Con el dedo SOLAMENTE, levanta suavemente las fosas nasales y piensa en algo asqueroso.","Con il dito SOLOCAMENTE, solleva delicatamente le narici e pensa a qualcosa di disgustoso.","Com apenas o DEDO, levante gentilmente suas narinas e pense em algo nojento.",Mobilisation assistée,Passif assisté,Tiers médian,,Assisted mobilization,Passive Assisted,Median Third,,Unterstützte Mobilisierung,Unterstützende Passive,Mitteltier,,Movilización asistida,Pasivo asistido,Tercer cuartil,,Mobilitazione assistita,Passivo assistito,Terza mediana,,Mobilização assistida.,Passivo assistido,Terceiro médio,
31,12,4,10,"Avec le doigt SEULEMENT, souriez bouche fermée, et pensez à quelque chose de joyeux.","With the finger ONLY, smile with closed mouth, and think about something happy.",Lächelt mit dem Finger NUR mit geschlossenem Mund und denkt an etwas Fröhliches.,"Con el dedo SOLAMENTE, sonríe con la boca cerrada y piensa en algo alegre.","Con il dito SOLOCAMENTE, sorridi con la bocca chiusa e pensa a qualcosa di gioioso.","Apenas com o dedo, sorria com a boca fechada e pense em algo alegre.",Mobilisation assistée,Passif assisté,Tiers médian,,Assisted mobilization,Passive Assisted,Median Third,,Unterstützte Mobilisierung,Unterstützende Passive,Mitteltier,,Movilización asistida,Pasivo asistido,Tercer cuartil,,Mobilitazione assistita,Passivo assistito,Terza mediana,,Mobilização assistida.,Passivo assistido,Terceiro médio,
32,12,4,10,"Avec le doigt SEULEMENT, souriez bouche ouverte, et pensez à quelque chose de joyeux.","With the finger ONLY, smile with open mouth, and think about something happy.",Lächelt mit dem Finger NUR mit offenem Mund und denkt an etwas Fröhliches.,"Con el dedo SOLAMENTE, sonríe con la boca abierta y piensa en algo alegre.","Con il dito SOLOCAMENTE, sorridi con la bocca aperta e pensa a qualcosa di gioioso.","Com um dedo APENAS, sorria com a boca aberta e pense em algo alegre.",Mobilisation assistée,Passif assisté,Tiers médian,,Assisted mobilization,Passive Assisted,Median Third,,Unterstützte Mobilisierung,Unterstützende Passive,Mitteltier,,Movilización asistida,Pasivo asistido,Tercer cuartil,,Mobilitazione assistita,Passivo assistito,Terza mediana,,Mobilização assistida.,Passivo assistido,Terceiro médio,
33,12,4,10,"Avec le doigt SEULEMENT, poussez les lèvres pour envoyer un baiser, et pensez à quelqu’un que vous aimez.","With the finger ONLY, push the lips to send a kiss, and think about someone you love.","Sendet mit dem Finger NUR einen Kuss und denkt an jemanden, den ihr liebt.","Con el dedo SOLAMENTE, empuja los labios para enviar un beso y piensa en alguien que amas.","Con il dito SOLOCAMENTE, spingi le labbra per inviare un bacio e pensa a qualcuno che ami.","Apenas com o dedo, empurre os lábios para enviar um beijo e pense em alguém que você ama.",Mobilisation assistée,Passif assisté,Tiers médian,,Assisted mobilization,Passive Assisted,Median Third,,Unterstützte Mobilisierung,Unterstützende Passive,Mitteltier,,Movilización asistida,Pasivo asistido,Tercer cuartil,,Mobilitazione assistita,Passivo assistito,Terza mediana,,Mobilização assistida.,Passivo assistido,Terceiro médio,
34,12,4,10,"Avec le doigt SEULEMENT, étirez les lèvres vers le bas, et pensez à quelque chose de dégoûtant.","With the finger ONLY, stretch the lips down, and think about something disgusting.",Zieht mit dem Finger NUR die Lippen nach unten und denkt an etwas Ekliges.,"Con el dedo SOLAMENTE, estira los labios hacia abajo y piensa en algo asqueroso.","Con il dito SOLOCAMENTE, tira le labbra verso il basso e pensa a qualcosa di disgustoso.","Com apenas um dedo, baixe os lábios e pense em algo repugnante.",Mobilisation assistée,Passif assisté,Tiers médian,,Assisted mobilization,Passive Assisted,Median Third,,Unterstützte Mobilisierung,Unterstützende Passive,Mitteltier,,Movilización asistida,Pasivo asistido,Tercer cuartil,,Mobilitazione assistita,Passivo assistito,Terza mediana,,Mobilização assistida.,Passivo assistido,Terceiro médio,
35,12,4,10,"Avec votre main SEULEMENT, touchez votre cou vers le bas, et pensez à quelque chose de dégoûtant.","With the finger ONLY, touch you neck down, and think about something disgusting.",Berührt mit der Hand NUR euren Hals nach unten und denkt an etwas Ekliges.,"Con la mano SOLAMENTE, toca tu cuello hacia abajo y piensa en algo asqueroso.","Con la mano SOLOCAMENTE, tocca il collo verso il basso e pensa a qualcosa di disgustoso.","Com a sua MÃO APENAS, toque seu pescoço para baixo e pense em algo repugnante.",Mobilisation assistée,Passif assisté,Tiers inférieur,,Assisted mobilization,Passive Assisted,Inferior Third,,Unterstützte Mobilisierung,Unterstützende Passive,Untere Ebene,,Movilización asistida,Pasivo asistido,Tercer piso inferior.,,Mobilitazione assistita,Passivo assistito,Terzo inferiore,,Mobilização assistida.,Passivo assistido,Terço inferior,
36,12,4,10,Levez le front doucement et pensez à quelque chose de surprenant. Tenez le mouvement à l’aide doigt.,Slowly rise the forehead and think about something surprising. Hold the movement with the finger.,Denkt an etwas Überraschendes und hebt vorsichtig die Stirn. Haltet die Bewegung mit dem Finger.,Piensa en algo sorprendente y levanta la frente suavemente. Mantén el movimiento con el dedo.,Pensa a qualcosa di sorprendente e solleva delicatamente la fronte. Tieni il movimento con il dito.,Levante a testa suavemente e pense em algo surpreendente. Mantenha o movimento com os dedos.,Mobilisation assistée,Actif assisté,Tiers supérieur,,Assisted mobilization,Active Assisted,Superior Third,,Unterstützte Mobilisierung,Unterstützende Vermögenswerte,Oberstufe,,Movilización asistida,Activo asistido,Nivel superior,,Mobilitazione assistita,Attivo assistito,Terzo superiore,,Mobilização assistida.,Ativo assistido,Topo tier,
